gFx,gFy,gFz,label,gFx_diff,gFy_diff,gFz_diff
-0.1966,0.6958,-0.4094,kneeling,0.0020000000000000018,-0.0020000000000000018,0.0
-0.1966,0.6958,-0.4094,kneeling,0.0,0.0,0.0
-0.1966,0.6958,-0.4094,kneeling,0.0,0.0,0.0
-0.1986,0.6958,-0.4094,kneeling,-0.0020000000000000018,0.0,0.0
-0.1986,0.6938,-0.4094,kneeling,0.0,-0.0020000000000000018,0.0
-0.1986,0.6938,-0.4094,kneeling,0.0,0.0,0.0
-0.2006,0.6938,-0.4094,kneeling,-0.0020000000000000018,0.0,0.0
-0.2006,0.6938,-0.4094,kneeling,0.0,0.0,0.0
-0.2006,0.6938,-0.4074,kneeling,0.0,0.0,0.0020000000000000018
-0.2026,0.6918,-0.4074,kneeling,-0.0020000000000000018,-0.0020000000000000018,0.0
-0.2026,0.6918,-0.4054,kneeling,0.0,0.0,0.0020000000000000018
-0.2026,0.6918,-0.4034,kneeling,0.0,0.0,0.0020000000000000018
-0.2026,0.6918,-0.4034,kneeling,0.0,0.0,0.0
-0.2026,0.6918,-0.4014,kneeling,0.0,0.0,0.0020000000000000018
-0.2026,0.6898,-0.4014,kneeling,0.0,-0.0020000000000000018,0.0
-0.2026,0.6878,-0.4034,kneeling,0.0,-0.0020000000000000018,-0.0020000000000000018
-0.2006,0.6858,-0.4034,kneeling,0.0020000000000000018,-0.0020000000000000018,0.0
-0.2006,0.6858,-0.4034,kneeling,0.0,0.0,0.0
-0.2006,0.6858,-0.4054,kneeling,0.0,0.0,-0.0020000000000000018
-0.2006,0.6818,-0.4054,kneeling,0.0,-0.0040000000000000036,0.0
-0.2006,0.6798,-0.4034,kneeling,0.0,-0.0020000000000000018,0.0020000000000000018
-0.2006,0.6798,-0.4054,kneeling,0.0,0.0,-0.0020000000000000018
-0.2006,0.6778,-0.4054,kneeling,0.0,-0.0020000000000000018,0.0
-0.2006,0.6778,-0.4034,kneeling,0.0,0.0,0.0020000000000000018
-0.2026,0.6778,-0.4034,kneeling,-0.0020000000000000018,0.0,0.0
-0.2026,0.6778,-0.4034,kneeling,0.0,0.0,0.0
-0.2026,0.6778,-0.4034,kneeling,0.0,0.0,0.0
-0.2006,0.6758,-0.4034,kneeling,0.0020000000000000018,-0.0020000000000000018,0.0
-0.2026,0.6758,-0.4034,kneeling,-0.0020000000000000018,0.0,0.0
-0.2026,0.6758,-0.4054,kneeling,0.0,0.0,-0.0020000000000000018
-0.2026,0.6738,-0.4034,kneeling,0.0,-0.0020000000000000018,0.0020000000000000018
-0.2026,0.6718,-0.4054,kneeling,0.0,-0.0020000000000000018,-0.0020000000000000018
-0.2026,0.6698,-0.4054,kneeling,0.0,-0.0020000000000000018,0.0
-0.2026,0.6678,-0.4054,kneeling,0.0,-0.0020000000000000018,0.0
-0.2046,0.6678,-0.4074,kneeling,-0.0020000000000000018,0.0,-0.0020000000000000018
-0.2066,0.6678,-0.4074,kneeling,-0.0020000000000000018,0.0,0.0
-0.2066,0.6658,-0.4074,kneeling,0.0,-0.0020000000000000018,0.0
-0.2066,0.6638,-0.4074,kneeling,0.0,-0.0020000000000000018,0.0
-0.2066,0.6638,-0.4074,kneeling,0.0,0.0,0.0
-0.2066,0.6618,-0.4074,kneeling,0.0,-0.0019999999999998908,0.0
-0.2046,0.6598,-0.4074,kneeling,0.0020000000000000018,-0.0020000000000000018,0.0
-0.2046,0.6618,-0.4054,kneeling,0.0,0.0020000000000000018,0.0020000000000000018
-0.2046,0.6598,-0.4054,kneeling,0.0,-0.0020000000000000018,0.0
-0.2046,0.6598,-0.4054,kneeling,0.0,0.0,0.0
-0.2046,0.6578,-0.4054,kneeling,0.0,-0.0020000000000000018,0.0
