time,gFx,gFy,gFz,TgF
0.254859948,-0.1065,0.6437,0.4792,0.810
1.25509,-0.3846,0.7018,-0.0493,0.802
2.255507916,-0.7590,0.7558,-0.3114,1.115
3.266233697,0.2298,0.5237,-0.2513,0.625
4.255972134,-1.0031,0.8338,-0.1793,1.317
5.256241092,-0.1326,0.6958,-0.2533,0.752
6.257268071,0.6640,0.5197,-0.5995,1.035
7.257422549,0.3439,0.6237,-0.5014,0.871
8.257914059,0.0835,0.1255,-0.3854,0.414
9.258484997,-0.0485,0.2876,-0.2493,0.384
10.258668329,0.0355,0.6598,-0.2213,0.697
11.259515725,-0.0405,0.6317,-0.3114,0.705
12.259570568,-0.0465,0.7198,-0.1693,0.741
13.261036453,0.0135,0.7098,-0.2173,0.742
14.261197078,-0.3406,0.5937,-0.4394,0.813
15.261412703,-0.0125,0.6518,-0.3134,0.723
16.261757858,-0.1646,0.7018,-0.2373,0.759
17.262101035,0.0315,0.6718,-0.2153,0.706
18.262383847,-0.0165,0.8298,-0.3254,0.891
19.269837805,-0.2146,0.6738,-0.2674,0.756
20.271901034,-0.0485,0.6538,-0.2774,0.712
21.264037388,-0.1085,0.8558,-0.2674,0.903
22.264322179,-0.1265,0.7498,-0.2573,0.803
23.264598845,0.0035,0.6958,-0.3434,0.776
24.265102647,-0.1386,0.6337,-0.3054,0.717
25.266349678,-0.0765,0.6437,-0.2874,0.709
26.266529053,-0.0385,0.7418,-0.3474,0.820
27.267231656,-0.2246,0.6417,-0.3574,0.768
28.268274312,-0.0985,0.6558,-0.3194,0.736
29.269150614,-0.1866,0.6417,-0.3754,0.767
30.269196186,-0.2206,0.6377,-0.4234,0.797
31.269443217,0.2078,0.6297,-0.4454,0.799
32.269998113,-0.1966,0.5597,-0.4794,0.763
33.270121029,-0.1486,0.8618,-0.4714,0.994
34.270991133,-0.0385,0.6377,-0.4774,0.798
35.271267382,-0.2246,0.6437,-0.3334,0.759
36.271642955,0.0875,0.5997,-0.3974,0.725
37.273685403,0.0095,0.8638,-0.4914,0.994
