time,gFx,gFy,gFz,TgF
0.847160,0.1698,0.6958,0.2891,0.77
1.850138,-0.1826,0.8438,0.3571,0.93
2.855588,-1.7957,0.4217,-0.3514,1.88
3.870078,-0.7348,0.3876,-0.6835,1.08
4.866052,0.1075,0.8878,-0.5435,1.05
5.855328,0.0415,0.6898,-0.2533,0.74
6.844222,-0.2786,0.6377,-0.3594,0.78
7.865459,-0.1646,0.6337,-0.2714,0.71
8.867760,-0.0745,0.7698,-0.0953,0.78
9.874592,-0.2306,0.7558,-0.0713,0.79
10.870874,-0.1326,0.6738,-0.1613,0.71
11.865887,-0.2066,0.6417,-0.2253,0.71
12.846147,-0.1986,0.8738,-0.2694,0.94
13.848120,-0.1125,0.7158,-0.2493,0.77
14.849174,-0.2606,0.6818,-0.2774,0.78
15.851916,-0.1306,0.6978,-0.2513,0.75
16.854067,-0.2786,0.5897,-0.3694,0.75
17.855924,-0.1285,0.8278,-0.3674,0.91
18.855491,-0.0765,0.6337,-0.3734,0.74
19.860164,-1.3613,-1.3875,-1.2040,2.29
20.862956,0.3219,-0.7450,-0.7155,1.08
21.868422,0.2919,-0.6970,-0.7658,1.08
22.862577,0.2799,-0.7893,-0.8278,1.18
23.863457,0.0535,-0.7793,-0.9058,1.20
24.864263,-0.0685,0.6337,-0.6935,0.94
25.861107,-0.0145,0.8398,-0.7475,1.12
26.860410,0.1498,0.6998,-0.5775,0.92
27.862704,0.0055,0.6878,-0.5855,0.90
28.865380,0.1978,0.6077,-0.5535,0.85
29.868309,0.1998,0.8438,-0.6035,1.06
30.872641,0.0295,0.6678,-0.5995,0.90
31.895260,0.2238,0.6297,-0.5935,0.89
32.872101,0.1518,0.8518,-0.6835,1.10
33.871343,0.0815,0.6758,-0.7315,1.00
34.895675,0.1238,0.6618,-0.6935,0.97
35.882975,-0.0385,0.6137,-0.6915,0.93
36.910222,0.6180,-0.3749,-0.5755,0.92
37.871033,0.1178,-0.9874,-0.6135,1.17
38.908264,0.0955,-0.9954,-0.6595,1.20
39.864448,0.0515,-0.7893,-0.7235,1.07
40.899599,0.1338,-0.8053,-1.0839,1.36
41.869980,0.1138,0.1696,-0.8438,0.87
42.871353,-0.0865,0.6297,-0.6655,0.92
43.875069,-0.1766,0.6618,-0.5014,0.85
44.876286,-0.0745,0.6618,-0.6335,0.92
45.877330,-0.0725,0.7458,-0.6515,0.99
46.880032,0.0655,0.6157,-0.7155,0.95
47.866206,-0.1566,0.6017,-0.6495,0.90
48.870208,0.0775,0.6397,-0.5995,0.88
49.870420,0.1398,0.6377,-0.7035,0.96
50.873278,-0.0605,0.6678,-0.6675,0.95
51.870946,0.0055,0.6337,-0.5955,0.87
52.916671,-0.0005,0.4957,-0.6815,0.84
53.879649,0.1598,-0.9093,-0.8298,1.24
54.896393,0.1178,-0.9834,-1.0679,1.46
55.881997,0.1318,-0.9414,-1.1499,1.49
56.884370,0.0955,-0.8653,-1.1880,1.47
57.903099,0.0675,-0.9974,-1.2780,1.62
58.876223,0.0855,0.0633,-0.9479,0.95
59.892111,-0.0565,0.6397,-0.7515,0.99
60.884361,-0.0425,0.5937,-0.7918,0.99
61.895494,0.0595,0.5997,-0.8098,1.01
62.883649,-0.1185,0.5437,-0.7718,0.95
63.914549,0.0175,0.6417,-0.6675,0.93
64.872107,-0.0045,0.8138,-0.8138,1.15
65.875230,-0.1285,0.6317,-0.7698,1.00
66.876896,0.1015,0.6297,-0.8038,1.03
67.881550,-0.1726,0.5977,-0.7638,0.99
