time,gFx,gFy,gFz,TgF
0.071092187,0.2498,0.1696,0.9516,0.998
1.067295729,0.2498,0.1696,0.9516,0.998
2.069388593,-0.5867,0.6017,0.3831,0.924
3.076170259,0.3379,0.6357,0.1771,0.741
4.052209478,0.1938,0.2676,-0.1393,0.359
5.052839321,-0.0085,0.6317,-0.4714,0.788
6.053244112,0.0335,0.7218,-0.2954,0.781
7.053449581,-0.0225,0.6578,-0.3114,0.728
8.054009424,0.0455,0.6758,-0.2133,0.710
9.054402236,0.1158,0.7578,-0.0233,0.767
10.054729996,-0.0625,0.7118,-0.1013,0.722
11.055263017,0.0395,0.9319,-0.2614,0.969
12.055421037,0.2839,0.1636,-0.5815,0.667
13.055638901,0.5600,-0.6970,-0.6475,1.104
14.056060307,0.4499,-0.4189,-0.6875,0.922
15.056533953,0.0615,0.5917,-0.6695,0.896
16.057211452,0.0895,0.7818,-0.4594,0.911
17.057575358,-0.0485,0.6377,-0.4754,0.797
18.058103014,0.1098,0.7238,-0.5154,0.895
19.058388587,0.1498,0.6257,-0.5615,0.854
20.058627597,0.2078,-0.1888,-0.9959,1.035
21.061478534,0.5780,-0.8193,-0.8578,1.320
22.064625825,0.2478,-0.4549,-1.0599,1.180
23.068169939,-0.0445,0.6678,-0.6135,0.908
24.068362074,0.1858,0.6497,-0.4814,0.830
25.080830303,0.0875,0.8878,-0.4474,0.998
26.080946032,-0.0705,0.6778,-0.5935,0.904
27.085630823,0.3119,-0.0988,-0.9259,0.982
28.088371239,0.6480,-0.7230,-0.8778,1.309
29.070696499,0.2859,-0.3669,-1.0679,1.165
30.070941395,-0.0485,0.6057,-0.6735,0.907
31.071383947,0.1418,0.6357,-0.5715,0.867
32.071883529,0.1698,0.6257,-0.6215,0.898
33.072133894,-0.1265,0.6177,-0.6535,0.908
34.072747904,0.4419,-0.4809,-0.9699,1.169
35.073189466,0.6280,-0.6450,-0.8138,1.214
36.073584986,0.3279,-0.1868,-1.0139,1.082
37.073800819,-0.0765,0.6197,-0.7155,0.950
38.074254881,0.1318,0.6197,-0.4894,0.801
39.074489673,0.0315,0.7218,-0.4734,0.864
40.075120297,0.0875,0.6718,-0.6735,0.955
41.077531755,0.4239,-0.0028,-0.8338,0.935
42.077843005,0.6680,-0.8593,-0.7878,1.344
43.081658109,0.4179,-0.5330,-0.9319,1.152
44.084279306,-0.1366,0.5157,-0.7758,0.942
45.089053212,0.1518,0.6518,-0.5054,0.839
46.091002118,-0.0185,0.6698,-0.5295,0.854
47.093161336,-0.0685,0.6598,-0.6335,0.917
48.093786961,0.1398,0.6017,-0.5114,0.802
49.09425545,0.2178,0.2136,-0.8378,0.892
50.094741231,0.5420,-0.8013,-0.8358,1.278
51.096221439,0.4679,-0.7773,-0.8738,1.260
52.098616907,-0.0625,0.2256,-0.8958,0.926
53.100828574,0.1858,0.5917,-0.6735,0.916
54.120143834,-0.0165,0.6598,-0.5154,0.837
55.096304823,0.0955,0.5897,-0.7175,0.934
56.099290395,0.2799,0.6157,-0.5054,0.844
57.099545812,0.0695,0.3716,-0.7778,0.865
58.099919874,0.6080,-0.8693,-0.8458,1.357
59.100250759,0.3199,-0.3529,-0.9779,1.088
60.100557685,-0.1125,0.6437,-0.6375,0.913
61.100897268,0.1718,0.5777,-0.5915,0.844
62.101010653,0.1778,0.6558,-0.5775,0.892
63.101487372,-0.1506,0.5057,-0.7638,0.928
64.101814767,0.4119,-0.8513,-0.9078,1.311
65.102168777,0.3459,-0.7573,-0.8918,1.220
66.102549975,-0.0985,0.2456,-0.9018,0.940
67.102732579,0.2058,0.6217,-0.5154,0.833
68.102957943,0.1738,0.7138,-0.6735,0.997
69.103733984,-0.0825,0.6317,-0.4954,0.807
70.106928619,0.0235,0.6217,-0.7055,0.941
71.107099712,0.2719,0.3176,-0.7798,0.885
72.107640337,0.4679,-0.9294,-0.8478,1.342
73.10825216,0.4039,-0.6070,-0.9499,1.197
74.11359367,-0.1265,0.5977,-0.7075,0.935
75.113681482,0.1118,0.6177,-0.6115,0.876
76.119733096,0.1738,0.6618,-0.5975,0.908
77.122427731,-0.0685,0.7238,-0.5615,0.919
78.123091324,0.3759,-0.7893,-0.9319,1.278
79.125348876,0.3039,-0.8433,-0.8718,1.250
80.125592053,-0.0445,0.1135,-0.9339,0.942
81.126541532,0.1998,0.6297,-0.5495,0.859
82.14150726,0.0895,0.9018,-0.6175,1.097
83.142949343,-0.0685,0.6998,-0.5875,0.916
84.147010176,0.2598,0.6377,-0.5455,0.879
85.148963822,0.0035,0.6658,-0.6495,0.930
86.150153561,0.3419,-0.5069,-0.9999,1.172
87.128623092,0.6620,-0.8833,-0.7758,1.349
88.128720696,0.2979,-0.1688,-1.0139,1.070
89.129678351,-0.1306,0.6497,-0.6035,0.896
90.129991684,0.1438,0.6237,-0.5715,0.858
91.130061892,0.1558,0.6497,-0.5835,0.887
