time,gFx,gFy,gFz,TgF
0.115932552,-0.0585,0.9961,0.1831,1.015
0.917260521,-0.0685,0.9881,0.2211,1.015
1.917413177,-0.0105,1.0482,0.2791,1.085
2.91751302,-0.0305,1.0161,0.2051,1.037
3.917760311,0.0615,1.0021,0.2611,1.037
4.927235571,-0.3226,0.8798,0.3231,0.991
5.930082186,-0.5607,0.0953,0.7893,0.973
6.93172406,-0.8031,-0.4129,0.7033,1.145
7.934423591,-0.5447,0.2756,0.7573,0.973
8.937479059,-0.0245,0.9781,0.1771,0.994
9.939983903,-0.1245,0.9721,0.1851,0.997
10.919224319,0.0135,0.9539,0.2431,0.984
11.919511714,-0.1025,0.9721,0.2071,0.999
12.919648225,-0.0065,0.9579,0.2191,0.983
13.922868276,-0.0305,0.9439,0.2231,0.970
14.922982547,0.0415,0.9721,0.2251,0.999
15.92317838,-0.2146,0.9279,0.2111,0.975
16.923336296,0.0635,0.9761,0.2371,1.007
17.923484785,-0.2806,0.8878,0.2791,0.972
18.923613378,0.1218,0.9621,0.2991,1.015
19.925366191,-0.1366,0.9479,0.4292,1.049
20.925701399,-0.3046,0.3276,0.8713,0.979
21.925872388,-0.6387,-0.2528,0.8273,1.075
22.926277283,-0.6708,-0.5049,0.8273,1.179
23.92643921,-0.5347,0.1275,0.8453,1.008
24.926664157,-0.2026,0.9721,0.1691,1.007
25.927000251,0.0235,0.9599,0.2931,1.004
26.927235459,-0.1666,0.9299,0.2231,0.971
27.928127281,0.0815,0.9781,0.1871,0.999
28.93056301,-0.1085,0.9399,0.2271,0.973
29.932788062,0.0555,0.9621,0.2551,0.997
30.933123478,-0.0965,0.9741,0.2131,1.002
31.933497124,0.1238,0.9661,0.2971,1.018
32.93366629,-0.0665,0.9921,0.1931,1.013
33.933947071,-0.1205,0.9881,0.1270,1.004
34.934142435,0.0755,0.9861,0.1891,1.007
35.934370716,-0.1005,0.9901,0.1451,1.006
36.934676028,0.0195,0.9621,0.2131,0.986
37.938828215,-0.1145,0.9661,0.3111,1.021
38.938998058,-0.4987,-0.0168,0.9474,1.071
39.939466391,-0.7128,-0.4709,0.6593,1.079
40.946834776,-0.6728,-0.3949,0.7273,1.067
41.947562432,-0.3566,0.4597,0.6873,0.900
42.947730557,-0.0325,1.0061,0.0528,1.008
43.949410088,0.0135,0.9641,0.2131,0.987
44.950373889,-0.1966,0.9901,0.2251,1.034
45.953911389,0.0775,1.0041,0.2551,1.039
46.955859618,-0.1105,0.9901,0.2731,1.033
47.959136284,0.0015,0.9941,0.1771,1.010
48.958847169,-0.2646,0.9078,0.2351,0.974
49.963235554,0.0195,1.0101,0.2431,1.039
50.963558679,-0.2106,0.9661,0.2391,1.017
51.966036022,0.0915,0.9881,0.2291,1.018
52.969471751,-0.2366,0.9078,0.1731,0.954
53.971503209,0.0675,0.9681,0.1891,0.989
54.976354563,-0.1085,0.9379,0.2171,0.969
55.977218781,0.0115,0.9721,0.1851,0.990
56.977051749,-0.0445,1.0001,0.1611,1.014
57.978779405,-0.0425,1.0522,0.1891,1.070
58.979705499,-0.0125,1.0021,0.2151,1.025
59.982497373,-0.0405,0.9881,0.1651,1.003
60.985850862,-0.0085,0.9941,0.1771,1.010
61.988331018,-0.0385,0.9821,0.2291,1.009
